,1.bicycle,,,2.bonsai,,,3.counter,,,4.flowers,,,5.garden,,,6.kitchen,,,7.room,,,8.stump,,,9.treehill,,,,,,,,,,,,,
Outputs,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR,SSIM,LPIPS,,,,,,,,
Rendered Raw,23.109,0.767,0.129,31.725,0.948,0.029,28.767,0.909,0.056,22.034,0.729,0.194,29.100,0.918,0.038,31.419,0.947,0.019,31.048,0.937,0.038,27.091,0.814,0.105,22.281,0.758,0.158,27.397,0.859,0.085,,,,,,,,
JPEG 90,36.286,0.967,0.013,37.320,0.964,0.008,36.115,0.953,0.008,33.974,0.969,0.009,34.422,0.951,0.013,34.984,0.951,0.009,37.914,0.958,0.007,35.389,0.962,0.021,36.107,0.963,0.017,35.835,0.960,0.012,,,,,,,,
JPEG 70,30.995,0.909,0.050,32.904,0.921,0.033,32.041,0.905,0.032,28.737,0.914,0.037,30.197,0.883,0.050,30.440,0.884,0.040,34.092,0.922,0.032,31.129,0.910,0.076,31.052,0.903,0.065,31.287,0.906,0.046,,,,,,,,
JPEG 50,29.059,0.871,0.095,31.202,0.889,0.063,30.491,0.875,0.059,26.977,0.877,0.071,28.671,0.840,0.099,28.831,0.838,0.073,32.526,0.898,0.057,30.141,0.885,0.121,29.210,0.864,0.118,29.679,0.871,0.084,,,,,,,,
JPEG 30,27.285,0.827,0.160,29.634,0.847,0.119,28.994,0.837,0.105,25.467,0.831,0.130,27.298,0.789,0.177,27.433,0.781,0.131,30.931,0.865,0.101,27.961,0.826,0.223,27.624,0.818,0.196,28.070,0.825,0.149,,,,,,,,
JPEG 10,24.381,0.678,0.334,22.218,0.600,0.413,25.588,0.712,0.267,22.617,0.695,0.333,24.466,0.625,0.381,24.570,0.636,0.338,27.456,0.760,0.251,24.923,0.661,0.424,23.940,0.693,0.365,24.462,0.673,0.345,,,,,,8.stump,,
Rendered JPEG 90,22.860,0.755,0.142,30.968,0.937,0.039,28.548,0.900,0.061,21.915,0.722,0.201,28.806,0.905,0.049,30.982,0.935,0.028,30.609,0.925,0.051,26.493,0.789,0.129,22.063,0.747,0.176,27.027,0.846,0.097,,,,,,PSNR↑,SSIM↑,LPIPS↓
Rendered JPEG 70,22.670,0.735,0.184,29.901,0.907,0.073,28.053,0.877,0.087,21.701,0.704,0.224,27.776,0.869,0.108,29.691,0.900,0.062,30.390,0.915,0.076,25.992,0.761,0.172,21.912,0.724,0.218,26.454,0.821,0.134,,,,,,27.091,0.814,0.105
Rendered JPEG 50,22.445,0.713,0.222,29.730,0.900,0.094,27.781,0.863,0.111,21.579,0.691,0.247,27.269,0.842,0.166,28.819,0.867,0.101,29.771,0.901,0.098,21.345,0.606,0.258,21.874,0.704,0.259,25.624,0.787,0.173,,,,,,26.493,0.789,0.129
Rendered JPEG 30,21.657,0.670,0.269,28.677,0.868,0.149,27.115,0.838,0.147,21.109,0.647,0.291,26.127,0.801,0.239,27.800,0.817,0.164,29.341,0.887,0.132,24.870,0.698,0.266,21.596,0.676,0.305,25.366,0.767,0.218,,,,,,25.992,0.761,0.172
Rendered JPEG 10,20.905,0.550,0.370,21.294,0.615,0.434,25.313,0.747,0.270,18.820,0.483,0.418,24.684,0.671,0.404,24.985,0.673,0.360,27.172,0.805,0.237,22.140,0.501,0.401,18.182,0.504,0.407,22.611,0.617,0.367,,,,,,21.345,0.606,0.258
HEVC 27,28.342,0.777,0.238,34.051,0.925,0.042,33.126,0.909,0.042,26.714,0.888,0.049,30.470,0.850,0.114,32.337,0.902,0.055,34.899,0.925,0.048,29.631,0.824,0.202,27.458,0.837,0.102,30.781,0.871,0.099,,,1.bicycle,,,24.870,0.698,0.266
HEVC 32,24.779,0.635,0.375,31.563,0.874,0.102,30.890,0.857,0.098,24.256,0.760,0.215,27.945,0.726,0.273,30.045,0.842,0.113,32.78,0.891,0.086,26.223,0.660,0.388,26.533,0.750,0.249,28.335,0.777,0.211,,Outputs,PSNR↑,SSIM↑,LPIPS↓,22.140,0.501,0.401
HEVC 37,23.214,0.560,0.497,28.661,0.783,0.235,28.124,0.778,0.191,22.951,0.649,0.382,25.546,0.588,0.452,24.345,0.613,0.314,29.489,0.824,0.164,-,-,-,23.516,0.582,0.522,25.731,0.672,0.345,,Rendered Raw,23.109,0.767,0.129,21.992,0.554,0.29
HEVC 42,20.821,0.430,0.654,25.480,0.670,0.404,25.606,0.688,0.312,-,-,-,23.572,0.465,0.620,22.623,0.506,0.470,26.032,0.719,0.272,-,-,-,-,-,-,24.022,0.580,0.455,,Rendered HEVC 27,22.386,0.655,0.279,22.126,0.486,0.413
Rendered HEVC 27,22.386,0.655,0.279,29.707,0.889,0.096,28.021,0.847,0.120,20.882,0.665,0.228,26.812,0.772,0.235,29.221,0.860,0.104,29.902,0.892,0.102,21.992,0.554,0.29,20.824,0.632,0.303,25.527,0.752,0.195,,Rendered HEVC 32,14.562,0.339,0.688,x,x,x
Rendered HEVC 32,14.562,0.339,0.688,28.429,0.836,0.180,27.130,0.801,0.180,20.305,0.592,0.314,25.363,0.637,0.402,27.463,0.771,0.197,28.18,0.847,0.155,22.126,0.486,0.413,20.478,0.560,0.404,23.782,0.652,0.326,,Rendered HEVC 37,18.894,0.444,0.521,x,x,x
Rendered HEVC 37,18.894,0.444,0.521,26.202,0.740,0.322,25.644,0.735,0.254,15.881,0.320,0.568,23.376,0.507,0.557,23.950,0.596,0.329,26.482,0.784,0.228,x,x,x,11.909,0.216,0.702,21.542,0.543,0.435,,Rendered HEVC 42,16.742,0.309,0.678,,,
Rendered HEVC 42,16.742,0.309,0.678,24.024,0.643,0.453,23.768,0.648,0.363,x,x,x,21.885,0.393,0.727,22.709,0.517,0.485,13.389,0.377,0.635,x,x,x,x,x,x,20.420,0.481,0.557,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bicycle,bonsai,counter,flowers,garden,kithchen,room,stump,treehill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,,,,,,,,Outputs,PSNR,SSIM,LPIPS,PSNR Drop (%),SSIM Drop(%),LPIPS Increase(%),,,Outputs,PSNR,SSIM,LPIPS,PSNR Drop (%),SSIM Drop (%),LPIPS Increase (%),,,,,,
Rendered Raw,0.767,0.948,0.909,0.729,0.918,0.947,0.937,0.814,0.758,,,,,,,,Rendered Raw,27.397,0.859,0.085,-,-,-,,,Rendered Raw,27.397,0.859,0.085,-,-,-,,,,,,
JPEG 90,0.967,0.964,0.953,0.969,0.951,0.951,0.958,0.962,0.963,,,,,,,,Rendered JPEG 90,27.027,0.846,0.097,1.351 ,1.449 ,14.360 ,,,Rendered HEVC 27,25.527,0.752,0.195,6.824,12.437,129.373 ,,,,,,
JPEG 70,0.909,0.921,0.905,0.914,0.883,0.884,0.922,0.910,0.903,,,,,,,,Rendered JPEG 70,26.454,0.821,0.134,3.442 ,4.335 ,57.180 ,,,Rendered HEVC 32,23.782,0.652,0.326,13.196,24.046,282.898 ,,,Outputs,8.stump,,
JPEG 50,0.871,0.889,0.875,0.877,0.840,0.838,0.898,0.885,0.864,,,,,,,,Rendered JPEG 50,25.624,0.787,0.173,6.473 ,8.283 ,103.133 ,,,Rendered HEVC 37,21.542,0.543,0.435,21.370,36.783,411.243 ,,,QF/QP,PSNR↑,SSIM↑,LPIPS↓
JPEG 30,0.827,0.847,0.837,0.831,0.789,0.781,0.865,0.826,0.818,,,,,,,,Rendered JPEG 30,25.366,0.767,0.218,7.414 ,10.677 ,156.136 ,,,Rendered HEVC 42,20.420,0.481,0.557,25.468,43.956,554.243 ,,,Raw,27.091,0.814,0.105
JPEG 10,0.678,0.600,0.712,0.695,0.625,0.636,0.760,0.661,0.693,,,,,,,,Rendered JPEG 10,22.611,0.617,0.367,17.471 ,28.187 ,330.940 ,,,,,,,,,,,,JPEG 90,26.493,0.789,0.129
Rendered JPEG 90,0.755,0.937,0.900,0.722,0.905,0.935,0.925,0.789,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,JPEG 70,25.992,0.761,0.172
Rendered JPEG 70,0.735,0.907,0.877,0.704,0.869,0.900,0.915,0.761,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,JPEG 50,21.345,0.606,0.258
Rendered JPEG 50,0.713,0.900,0.863,0.691,0.842,0.867,0.901,0.642,0.704,,,,,,,,,,,,,,,,,,,,,,,,,,JPEG 30,24.870,0.698,0.266
Rendered JPEG 30,0.670,0.868,0.838,0.647,0.801,0.817,0.887,0.698,0.676,,,,,,,,,,,,,,,,,,,,,,,,,,JPEG 10,22.140,0.501,0.401
Rendered JPEG 10,0.550,0.615,0.747,0.483,0.671,0.673,0.805,0.501,0.504,,,,,,,,,,,,,,,,,,,,,,,,,,HEVC 27,21.992,0.554,0.29
,,,,,,,,,,,,,,,,Outputs,PSNR,SSIM,LPIPS,,,,,,,PSNR,SSIM,LPIPS,,,,,,,HEVC 32,22.126,0.486,0.413
,,,,,,,bicycle,flowers,garden,stump,treehill,,,,,JPEG 90,35.835,0.960,0.012,,,,,,HEVC 27,30.781,0.871,0.099,,,,,,,HEVC 37,x,x,x
category,garden,bonsai,counter,kithchen,room,,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,,,,,JPEG 70,31.287,0.906,0.046,,,,,,HEVC 32,28.335,0.777,0.211,,,,,,,HEVC 42,x,x,x
,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,,0.767,0.729,0.918,0.814,0.758,,,,,JPEG 50,29.679,0.871,0.084,,,,,,HEVC 37,25.731,0.672,0.345,,,,,,,,,,
JPEG 90,0.951,0.964,0.953,0.951,0.958,0.955,0.967,0.969,0.951,0.962,0.963,0.962,,,,JPEG 30,28.070,0.825,0.149,,,,,,HEVC 42,24.022,0.580,0.455,QP,ΔPSNR (↓),ΔSSIM (↓),ΔLPIPS (↑),,,,,,
JPEG 70,0.883,0.921,0.905,0.884,0.922,0.903,0.909,0.914,0.883,0.910,0.903,0.904,,,,JPEG 10,24.462,0.673,0.345,QF,ΔPSNR (↓),ΔSSIM (↓),ΔLPIPS (↑),,Rendered HEVC 27,25.527,0.752,0.195,27 ,5.253 ,0.119 ,0.096 ,,,,,,
JPEG 50,0.840,0.889,0.875,0.838,0.898,0.868,0.871,0.877,0.840,0.885,0.864,0.867,,,,Rendered JPEG 90,27.027,0.846,0.097,90 ,8.807 ,0.114 ,0.086 ,,Rendered HEVC 32,23.782,0.652,0.326,32 ,4.553 ,0.125 ,0.115 ,,,,,,
JPEG 30,0.789,0.847,0.837,0.781,0.865,0.824,0.827,0.831,0.789,0.826,0.818,0.818,,,,Rendered JPEG 70,26.454,0.821,0.134,70 ,4.833 ,0.084 ,0.088 ,,Rendered HEVC 37,21.542,0.543,0.435,37 ,4.189 ,0.129 ,0.091 ,,,,,,
JPEG 10,0.625,0.600,0.712,0.636,0.760,0.667,0.678,0.695,0.625,0.661,0.693,0.670,,,,Rendered JPEG 50,25.624,0.787,0.173,50 ,4.055 ,0.083 ,0.089 ,,Rendered HEVC 42,20.420,0.481,0.557,42 ,3.603 ,0.098 ,0.102 ,,,,,,
Rendered JPEG 90,0.905,0.937,0.900,0.935,0.925,0.920,0.755,0.722,0.905,0.789,0.747,0.784,,,,Rendered JPEG 30,25.366,0.767,0.218,30 ,2.704 ,0.058 ,0.069 ,,,,,,,,,,,,,,,
Rendered JPEG 70,0.869,0.907,0.877,0.900,0.915,0.894,0.735,0.704,0.869,0.761,0.724,0.759,,,,Rendered JPEG 10,22.611,0.617,0.367,10 ,1.852 ,0.057 ,0.022 ,,,,,,,,,,,,,,,
Rendered JPEG 50,0.842,0.900,0.863,0.867,0.901,0.875,0.713,0.691,0.842,0.642,0.704,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendered JPEG 30,0.801,0.868,0.838,0.817,0.887,0.842,0.670,0.647,0.801,0.698,0.676,0.698,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendered JPEG 10,0.671,0.615,0.747,0.673,0.805,0.702,0.550,0.483,0.671,0.501,0.504,0.542,,,,,,,,QF,JPEG PSNR,JPEG SSIM,JPEG LPIPS,RenderedPSNR,Rendered SSIM,Rendered LPIPS,,,QP,HEVC PSNR,HEVC SSIM,HEVC LPIPS,RenderedPSNR,Rendered SSIM,Rendered LPIPS,,,
QP,JPEG SSIM,Rendered JPEG SSIM,,,,,QP,JPEG SSIM,Rendered JPEG SSIM,,,,,,,,,,,,,,,,,,,,27 ,30.781,0.871,0.099,25.527,0.752,0.195,,,
90,0.955,0.92,,,,,90,0.962,0.784,,,,,,,,,,,QF,JPEG PSNR,JPEG SSIM,JPEG LPIPS,RenderedPSNR,Rendered SSIM,Rendered LPIPS,,,32 ,28.335,0.777,0.211,23.782,0.652,0.326,,,
70,0.903,0.894,,,,,70,0.904,0.759,,,,,,,,,,,50 ,29.679,0.871,0.084,25.624,0.787,0.173,,,37 ,25.731,0.672,0.345,21.542,0.543,0.435,,,
50,0.868,0.875,,,,,50,0.867,0.718,,,,,,,,,,,30 ,28.070,0.825,0.149,25.366,0.767,0.218,,,42 ,24.022,0.580,0.455,20.420,0.481,0.557,,,
30,0.824,0.842,,,,,30,0.818,0.698,,,,,,,,,,,10 ,24.462,0.673,0.345,22.611,0.617,0.367,,,,,,,,,,,,
10,0.667,0.702,,,,,10,0.670,0.542,,,,,,,,,,,QP,HEVC PSNR,HEVC SSIM,HEVC LPIPS,RenderedPSNR,Rendered SSIM,Rendered LPIPS,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,27 ,30.781,0.871,0.099,25.527,0.752,0.195,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,32 ,28.335,0.777,0.211,23.782,0.652,0.326,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37 ,25.731,0.672,0.345,21.542,0.543,0.435,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,QF/QP,JPEG Rendered PSNR,HEVC Rendered PSNR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,50/27,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,30/32,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10/37,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,코덱,Input PSNR (X),Rendered PSNR (Y),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,JPEG,29.679,25.624,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,JPEG,28.07,25.366,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,JPEG,24.462,22.611,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,HEVC,30.781,25.527,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,HEVC,28.335,23.782,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,HEVC,25.731,21.542,,,,,,,,,,,,,,,,
