codec,category,qp,frame,chamfer_distance
AVC,backpack,42,frame000001_AVCRA_42,2.694737672805786
AVC,backpack,42,frame000006_AVCRA_42,2.7167489528656006
AVC,backpack,42,frame000011_AVCRA_42,3.1126396656036377
AVC,backpack,42,frame000016_AVCRA_42,3.254774570465088
AVC,backpack,42,frame000021_AVCRA_42,3.313488006591797
AVC,backpack,42,frame000031_AVCRA_42,3.147817611694336
AVC,backpack,42,frame000036_AVCRA_42,3.076021432876587
AVC,backpack,42,frame000046_AVCRA_42,2.9027397632598877
AVC,backpack,42,frame000051_AVCRA_42,2.967775344848633
AVC,backpack,42,frame000056_AVCRA_42,3.0478029251098633
AVC,backpack,42,frame000061_AVCRA_42,3.0139951705932617
AVC,backpack,42,frame000066_AVCRA_42,3.034655809402466
AVC,backpack,42,frame000081_AVCRA_42,3.039485454559326
AVC,backpack,42,frame000086_AVCRA_42,2.9678773880004883
AVC,backpack,42,frame000091_AVCRA_42,3.0003628730773926
AVC,backpack,42,frame000101_AVCRA_42,2.9758524894714355
AVC,backpack,42,frame000106_AVCRA_42,2.93764328956604
AVC,backpack,42,frame000111_AVCRA_42,3.12151837348938
AVC,backpack,42,frame000141_AVCRA_42,2.9720234870910645
AVC,backpack,42,frame000146_AVCRA_42,3.1467080116271973
AVC,backpack,42,frame000171_AVCRA_42,3.1554698944091797
AVC,backpack,42,frame000176_AVCRA_42,3.0591442584991455
AVC,backpack,42,frame000181_AVCRA_42,3.0031070709228516
AVC,backpack,42,frame000186_AVCRA_42,2.9633049964904785
AVC,backpack,42,frame000191_AVCRA_42,3.170330762863159
AVC,backpack,42,frame000196_AVCRA_42,2.697563409805298
AVC,backpack,42,frame000201_AVCRA_42,2.6449623107910156
AVC,backpack,47,frame000001_AVCRA_47,3.0965991020202637
AVC,backpack,47,frame000006_AVCRA_47,3.103912353515625
AVC,backpack,47,frame000011_AVCRA_47,3.1931324005126953
AVC,backpack,47,frame000051_AVCRA_47,3.371596336364746
AVC,ball,42,frame000001_AVCRA_42,3.8842661380767822
AVC,ball,42,frame000006_AVCRA_42,3.878444194793701
AVC,ball,42,frame000011_AVCRA_42,3.888976573944092
AVC,ball,42,frame000016_AVCRA_42,3.8866264820098877
AVC,ball,42,frame000021_AVCRA_42,3.857236623764038
AVC,ball,42,frame000026_AVCRA_42,3.9004065990448
AVC,ball,42,frame000031_AVCRA_42,3.9633851051330566
AVC,ball,42,frame000036_AVCRA_42,4.030989646911621
AVC,ball,42,frame000041_AVCRA_42,3.981394052505493
AVC,ball,42,frame000046_AVCRA_42,3.9139931201934814
AVC,ball,42,frame000051_AVCRA_42,3.77292537689209
AVC,ball,42,frame000056_AVCRA_42,3.8012824058532715
AVC,ball,42,frame000061_AVCRA_42,3.8104732036590576
AVC,ball,42,frame000066_AVCRA_42,3.7839908599853516
AVC,ball,42,frame000071_AVCRA_42,3.8040554523468018
AVC,ball,42,frame000076_AVCRA_42,3.7967281341552734
AVC,ball,42,frame000081_AVCRA_42,3.826707124710083
AVC,ball,42,frame000086_AVCRA_42,3.8288497924804688
AVC,ball,42,frame000091_AVCRA_42,3.804009199142456
AVC,ball,42,frame000096_AVCRA_42,3.804983615875244
AVC,ball,42,frame000101_AVCRA_42,3.7813851833343506
AVC,ball,42,frame000106_AVCRA_42,3.847578525543213
AVC,ball,42,frame000111_AVCRA_42,3.8936972618103027
AVC,ball,42,frame000116_AVCRA_42,3.856940507888794
AVC,ball,42,frame000121_AVCRA_42,3.9050042629241943
AVC,ball,42,frame000126_AVCRA_42,3.923893690109253
AVC,ball,42,frame000131_AVCRA_42,3.8974359035491943
AVC,ball,42,frame000136_AVCRA_42,3.8511435985565186
AVC,ball,42,frame000141_AVCRA_42,3.893348217010498
AVC,ball,42,frame000146_AVCRA_42,3.7532827854156494
AVC,ball,42,frame000151_AVCRA_42,3.7857205867767334
AVC,ball,42,frame000156_AVCRA_42,3.8588037490844727
AVC,ball,42,frame000161_AVCRA_42,3.8656821250915527
AVC,ball,42,frame000166_AVCRA_42,3.9182333946228027
AVC,ball,42,frame000171_AVCRA_42,3.9248430728912354
AVC,ball,42,frame000176_AVCRA_42,3.90574049949646
AVC,ball,42,frame000181_AVCRA_42,3.961730480194092
AVC,ball,42,frame000186_AVCRA_42,3.9841582775115967
AVC,ball,42,frame000191_AVCRA_42,4.019813537597656
AVC,ball,42,frame000196_AVCRA_42,3.9229393005371094
AVC,ball,42,frame000201_AVCRA_42,3.8991641998291016
AVC,ball,47,frame000001_AVCRA_47,3.89104962348938
AVC,ball,47,frame000006_AVCRA_47,3.8981728553771973
AVC,ball,47,frame000011_AVCRA_47,3.9003841876983643
AVC,ball,47,frame000016_AVCRA_47,3.9616498947143555
AVC,ball,47,frame000021_AVCRA_47,3.9599804878234863
AVC,ball,47,frame000026_AVCRA_47,4.014248847961426
AVC,ball,47,frame000031_AVCRA_47,4.007452011108398
AVC,ball,47,frame000036_AVCRA_47,4.044349670410156
AVC,ball,47,frame000041_AVCRA_47,4.076484680175781
AVC,ball,47,frame000046_AVCRA_47,3.979292869567871
AVC,ball,47,frame000051_AVCRA_47,3.8555092811584473
AVC,ball,47,frame000056_AVCRA_47,3.877455711364746
AVC,ball,47,frame000061_AVCRA_47,3.8647706508636475
AVC,ball,47,frame000066_AVCRA_47,3.9017281532287598
AVC,ball,47,frame000071_AVCRA_47,3.920194149017334
AVC,ball,47,frame000076_AVCRA_47,4.0177226066589355
AVC,ball,47,frame000081_AVCRA_47,4.056378364562988
AVC,ball,47,frame000086_AVCRA_47,4.235567092895508
AVC,ball,47,frame000091_AVCRA_47,4.002269744873047
AVC,ball,47,frame000096_AVCRA_47,4.006796360015869
AVC,ball,47,frame000101_AVCRA_47,3.866114854812622
AVC,ball,47,frame000106_AVCRA_47,3.9160079956054688
AVC,ball,47,frame000111_AVCRA_47,3.9899721145629883
AVC,ball,47,frame000116_AVCRA_47,3.979200601577759
AVC,ball,47,frame000121_AVCRA_47,3.996410608291626
AVC,ball,47,frame000126_AVCRA_47,4.029206275939941
AVC,ball,47,frame000131_AVCRA_47,3.9731926918029785
AVC,ball,47,frame000136_AVCRA_47,3.8925957679748535
AVC,ball,47,frame000141_AVCRA_47,3.9726195335388184
AVC,ball,47,frame000146_AVCRA_47,3.847728967666626
AVC,ball,47,frame000151_AVCRA_47,3.8657243251800537
AVC,ball,47,frame000156_AVCRA_47,3.901827335357666
AVC,ball,47,frame000161_AVCRA_47,3.8808064460754395
AVC,ball,47,frame000166_AVCRA_47,3.906374216079712
AVC,ball,47,frame000171_AVCRA_47,3.9886200428009033
AVC,ball,47,frame000176_AVCRA_47,4.043362140655518
AVC,ball,47,frame000181_AVCRA_47,4.057989120483398
AVC,ball,47,frame000186_AVCRA_47,4.311018943786621
AVC,ball,47,frame000191_AVCRA_47,4.104329586029053
AVC,ball,47,frame000196_AVCRA_47,3.959693431854248
AVC,ball,47,frame000201_AVCRA_47,3.9077675342559814
AVC,book,42,frame000001_AVCRA_42,4.5503621101379395
AVC,book,42,frame000006_AVCRA_42,4.561623573303223
AVC,book,42,frame000011_AVCRA_42,4.554864883422852
AVC,book,42,frame000016_AVCRA_42,4.6662702560424805
AVC,book,42,frame000021_AVCRA_42,4.933359622955322
AVC,book,42,frame000026_AVCRA_42,4.955489158630371
AVC,book,42,frame000031_AVCRA_42,4.6856889724731445
AVC,book,42,frame000036_AVCRA_42,4.796991348266602
AVC,book,42,frame000041_AVCRA_42,4.707437992095947
AVC,book,42,frame000046_AVCRA_42,4.732568264007568
AVC,book,42,frame000051_AVCRA_42,4.862112998962402
AVC,book,42,frame000056_AVCRA_42,4.908498764038086
AVC,book,42,frame000061_AVCRA_42,4.975536823272705
AVC,book,42,frame000066_AVCRA_42,4.964029788970947
AVC,book,42,frame000071_AVCRA_42,4.885896682739258
AVC,book,42,frame000076_AVCRA_42,4.861749649047852
AVC,book,42,frame000081_AVCRA_42,4.8158488273620605
AVC,book,42,frame000086_AVCRA_42,4.796198844909668
AVC,book,42,frame000091_AVCRA_42,4.7917375564575195
AVC,book,42,frame000096_AVCRA_42,4.766381740570068
AVC,book,42,frame000101_AVCRA_42,4.7630462646484375
AVC,book,42,frame000106_AVCRA_42,4.837582588195801
AVC,book,42,frame000111_AVCRA_42,4.9319305419921875
AVC,book,42,frame000116_AVCRA_42,4.87916374206543
AVC,book,42,frame000121_AVCRA_42,4.85659646987915
AVC,book,42,frame000126_AVCRA_42,4.823175430297852
AVC,book,42,frame000131_AVCRA_42,4.697719097137451
AVC,book,42,frame000136_AVCRA_42,4.7460198402404785
AVC,book,42,frame000141_AVCRA_42,4.973679542541504
AVC,book,42,frame000146_AVCRA_42,4.9521684646606445
AVC,book,42,frame000151_AVCRA_42,4.965236663818359
AVC,book,42,frame000156_AVCRA_42,4.964472770690918
AVC,book,42,frame000161_AVCRA_42,4.729369163513184
AVC,book,42,frame000166_AVCRA_42,4.811151027679443
AVC,book,42,frame000171_AVCRA_42,4.718113899230957
AVC,book,42,frame000176_AVCRA_42,4.736215591430664
AVC,book,42,frame000181_AVCRA_42,4.864899635314941
AVC,book,42,frame000186_AVCRA_42,4.849458694458008
AVC,book,42,frame000191_AVCRA_42,4.823600769042969
AVC,book,42,frame000196_AVCRA_42,4.864676475524902
AVC,book,42,frame000201_AVCRA_42,4.979394912719727
AVC,book,47,frame000001_AVCRA_47,4.771755695343018
AVC,book,47,frame000006_AVCRA_47,4.786787986755371
AVC,book,47,frame000011_AVCRA_47,4.746624946594238
AVC,book,47,frame000016_AVCRA_47,4.757926940917969
AVC,book,47,frame000021_AVCRA_47,5.007355690002441
AVC,book,47,frame000026_AVCRA_47,4.755349159240723
AVC,book,47,frame000031_AVCRA_47,4.50645637512207
AVC,book,47,frame000036_AVCRA_47,4.555949687957764
AVC,book,47,frame000041_AVCRA_47,4.932477951049805
AVC,book,47,frame000046_AVCRA_47,4.860463619232178
AVC,book,47,frame000051_AVCRA_47,4.569552421569824
AVC,book,47,frame000056_AVCRA_47,4.872808456420898
AVC,book,47,frame000061_AVCRA_47,4.974759578704834
AVC,book,47,frame000066_AVCRA_47,5.004378318786621
AVC,book,47,frame000071_AVCRA_47,4.947566509246826
AVC,book,47,frame000076_AVCRA_47,4.87491512298584
AVC,book,47,frame000081_AVCRA_47,4.845820426940918
AVC,book,47,frame000086_AVCRA_47,4.76890754699707
AVC,book,47,frame000091_AVCRA_47,4.69943904876709
AVC,book,47,frame000096_AVCRA_47,4.8035712242126465
AVC,book,47,frame000101_AVCRA_47,4.8653388023376465
AVC,book,47,frame000106_AVCRA_47,4.8672261238098145
AVC,book,47,frame000111_AVCRA_47,4.923995494842529
AVC,book,47,frame000116_AVCRA_47,4.970170974731445
AVC,book,47,frame000121_AVCRA_47,4.756097793579102
AVC,book,47,frame000126_AVCRA_47,4.496071815490723
AVC,book,47,frame000131_AVCRA_47,4.462496757507324
AVC,book,47,frame000136_AVCRA_47,4.391364097595215
AVC,book,47,frame000141_AVCRA_47,4.919681072235107
AVC,book,47,frame000146_AVCRA_47,4.940159320831299
AVC,book,47,frame000151_AVCRA_47,4.9652533531188965
AVC,book,47,frame000156_AVCRA_47,4.8879876136779785
AVC,book,47,frame000161_AVCRA_47,4.7809247970581055
AVC,book,47,frame000166_AVCRA_47,4.719418525695801
AVC,book,47,frame000171_AVCRA_47,4.72823429107666
AVC,book,47,frame000176_AVCRA_47,4.653095722198486
AVC,book,47,frame000181_AVCRA_47,4.939357757568359
AVC,book,47,frame000186_AVCRA_47,5.018255710601807
AVC,book,47,frame000191_AVCRA_47,5.002134323120117
AVC,book,47,frame000196_AVCRA_47,4.815762042999268
AVC,book,47,frame000201_AVCRA_47,4.961202144622803
AVC,chair,42,frame000001_AVCRA_42,3.0675721168518066
AVC,chair,42,frame000006_AVCRA_42,3.0831565856933594
AVC,chair,42,frame000011_AVCRA_42,3.0042903423309326
AVC,chair,42,frame000016_AVCRA_42,2.922945976257324
AVC,chair,42,frame000021_AVCRA_42,2.8778316974639893
AVC,chair,42,frame000026_AVCRA_42,2.9046590328216553
AVC,chair,42,frame000031_AVCRA_42,2.994680881500244
AVC,chair,42,frame000036_AVCRA_42,3.25386643409729
AVC,chair,42,frame000041_AVCRA_42,3.1963818073272705
AVC,chair,42,frame000046_AVCRA_42,3.0583698749542236
AVC,chair,42,frame000051_AVCRA_42,2.9552059173583984
AVC,chair,42,frame000056_AVCRA_42,3.003772020339966
AVC,chair,42,frame000061_AVCRA_42,2.9978084564208984
AVC,chair,42,frame000066_AVCRA_42,3.0027670860290527
AVC,chair,42,frame000071_AVCRA_42,3.003983736038208
AVC,chair,42,frame000076_AVCRA_42,3.029430627822876
AVC,chair,42,frame000081_AVCRA_42,3.1279842853546143
AVC,chair,42,frame000086_AVCRA_42,3.1211013793945312
AVC,chair,42,frame000091_AVCRA_42,3.1059000492095947
AVC,chair,42,frame000096_AVCRA_42,3.0828475952148438
AVC,chair,42,frame000101_AVCRA_42,3.257505178451538
AVC,chair,42,frame000106_AVCRA_42,3.351465940475464
AVC,chair,42,frame000111_AVCRA_42,3.444279909133911
AVC,chair,42,frame000121_AVCRA_42,3.2476155757904053
AVC,chair,42,frame000126_AVCRA_42,3.2475719451904297
AVC,chair,42,frame000131_AVCRA_42,3.177492141723633
AVC,chair,42,frame000136_AVCRA_42,3.274146556854248
AVC,chair,42,frame000141_AVCRA_42,3.2377471923828125
AVC,chair,42,frame000146_AVCRA_42,3.1649179458618164
AVC,chair,42,frame000151_AVCRA_42,3.136568307876587
AVC,chair,42,frame000156_AVCRA_42,3.161914110183716
AVC,chair,42,frame000161_AVCRA_42,3.1133434772491455
AVC,chair,42,frame000166_AVCRA_42,3.161144733428955
AVC,chair,42,frame000171_AVCRA_42,3.2490453720092773
AVC,chair,42,frame000176_AVCRA_42,3.040127992630005
AVC,chair,42,frame000181_AVCRA_42,3.1267340183258057
AVC,chair,42,frame000186_AVCRA_42,3.118300676345825
AVC,chair,42,frame000191_AVCRA_42,3.5819692611694336
AVC,chair,47,frame000001_AVCRA_47,3.100018262863159
AVC,chair,47,frame000006_AVCRA_47,3.171617269515991
AVC,chair,47,frame000011_AVCRA_47,3.1307005882263184
AVC,chair,47,frame000016_AVCRA_47,2.913794755935669
AVC,chair,47,frame000021_AVCRA_47,3.000962734222412
AVC,chair,47,frame000026_AVCRA_47,3.01667857170105
AVC,chair,47,frame000031_AVCRA_47,3.1115236282348633
AVC,chair,47,frame000036_AVCRA_47,3.29447865486145
AVC,chair,47,frame000041_AVCRA_47,3.3678386211395264
AVC,chair,47,frame000046_AVCRA_47,3.217186689376831
AVC,chair,47,frame000051_AVCRA_47,3.0444581508636475
AVC,chair,47,frame000056_AVCRA_47,2.9860525131225586
AVC,chair,47,frame000061_AVCRA_47,3.047581195831299
AVC,chair,47,frame000066_AVCRA_47,3.0287747383117676
AVC,chair,47,frame000071_AVCRA_47,3.0468368530273438
AVC,chair,47,frame000076_AVCRA_47,3.100393772125244
AVC,chair,47,frame000081_AVCRA_47,3.092054605484009
AVC,chair,47,frame000091_AVCRA_47,3.759648323059082
AVC,chair,47,frame000101_AVCRA_47,3.2354042530059814
AVC,chair,47,frame000106_AVCRA_47,3.2786858081817627
AVC,chair,47,frame000121_AVCRA_47,3.376891613006592
AVC,chair,47,frame000126_AVCRA_47,3.5662693977355957
AVC,chair,47,frame000131_AVCRA_47,3.3578765392303467
AVC,chair,47,frame000136_AVCRA_47,3.3456482887268066
AVC,chair,47,frame000141_AVCRA_47,3.3328866958618164
AVC,chair,47,frame000146_AVCRA_47,3.2551536560058594
AVC,chair,47,frame000151_AVCRA_47,3.187800407409668
AVC,chair,47,frame000156_AVCRA_47,3.189058780670166
AVC,chair,47,frame000161_AVCRA_47,3.1272850036621094
AVC,chair,47,frame000166_AVCRA_47,3.192296266555786
AVC,chair,47,frame000171_AVCRA_47,3.4195001125335693
AVC,chair,47,frame000181_AVCRA_47,3.606154441833496
AVC,chair,47,frame000186_AVCRA_47,3.2995505332946777
AVC,handbag,42,frame000001_AVCRA_42,3.986334800720215
AVC,handbag,42,frame000006_AVCRA_42,3.9949769973754883
AVC,handbag,42,frame000011_AVCRA_42,3.98396897315979
AVC,handbag,42,frame000016_AVCRA_42,4.015172958374023
AVC,handbag,42,frame000021_AVCRA_42,3.991292953491211
AVC,handbag,42,frame000026_AVCRA_42,4.0294413566589355
AVC,handbag,42,frame000031_AVCRA_42,4.100101470947266
AVC,handbag,42,frame000036_AVCRA_42,3.877962589263916
